Model,R²,RMSE,MAE,MAPE,CV Mean R²,CV Std R²
Linear Regression,1.0,1.2178830624992355e-13,9.908446159649512e-14,2.0955908674354848e-13,1.0,0.0
Ridge Regression,0.999999997210517,0.00722736379010606,0.005955374122326163,0.029949864131467382,0.9999999956362485,1.8470917556407474e-11
Lasso Regression,0.9999999946012178,0.010054626962153802,0.008282042767631316,0.04182387233542426,0.9999999946000928,2.4241004883518472e-11
Random Forest,0.9999999633370033,0.026201855042119748,0.018379026247160438,0.15322424034016163,0.9999999446485889,1.6502056624401652e-09
Gradient Boosting,0.9999528000968607,0.9401315184830945,0.6749121846449687,1.481607975114487,0.9999504765776083,2.567070068843936e-06
