Model,Accuracy,F1,Precision,Recall,AUC-ROC,CV Mean Acc,CV Std Acc
Logistic Regression,0.9820485744456178,0.9794238683127572,1.0,0.9596774193548387,0.9996635797140915,0.9819919002623603,0.001747491869847369
SVM,0.9700105596620908,0.9651448208149239,1.0,0.9326375711574952,0.9993860284637205,0.9694761771848281,0.002938059018795822
KNN,0.9146779303062302,0.9021791767554479,0.9213649851632048,0.8837760910815939,0.972938121059296,0.912653246852108,0.004292959628139112
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0
